0,description,topic,tech
Orcasound,Humans & AI listening together to save the whales.,"['web', 'audio', 'ai', 'acoustics', 'community science']","['python', 'javascript', 'raspberry pi', 'elixir', 'NextJs']"
LibreCube Initiative,The Universal Operating System,"['web', 'robotics', 'graphics', 'cloud', 'SDR']","['c', 'python', 'java', 'ruby', 'perl']"
Django Software Foundation,Web framework for perfectionists with deadlines,"['web', 'python']","['python', 'django']"
AnkiDroid,AnkiDroid makes remembering things easy,"['education', 'mobile', 'android', 'user generated content', 'Flashcards']","['android', 'java', 'rust', 'kotlin', 'mobile']"
cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,"['genomics', 'cancer', 'bioinformatics', 'big data', 'precision medicine']","['mysql', 'javascript', 'java', 'react', 'typescript']"
Plone Foundation,"Python-based CMS, with React front-end.","['web', 'cms']","['python', 'javascript', 'react']"
Oppia Foundation,"Free platform for interactive, tutor-like lessons","['education', 'web', 'community', 'nonprofit', 'social impact']","['python', 'android', 'google app engine', 'angular', 'typescript']"
Ruby,Ruby is an object-oriented programming language,"['security', 'web']","['ruby on rails', 'ruby', 'rubygems', 'bundler']"
CRIU,Chekpoint/Restore for Linux tasks and containers,"['cloud', 'containers', 'Checkpoint/Restore']","['c', 'python', 'linux', 'go']"
Python Software Foundation,A programming language used for science & more,"['security', 'database', 'science', 'design']","['python', 'javascript', 'sqlite']"
GNSS-SDR,An open source GNSS software-defined receiver,"['gnss', 'geolocation', 'navigation', 'software defined radio', 'communications']","['c', 'c++', 'sdr']"
AFLplusplus,State of the art fuzzing for better security,"['fuzzing', 'ci']","['llvm', 'rust', 'fuzzing', 'qemu']"
R project for statistical computing,R software for statistical computing & graphics,"['visualization', 'machine learning', 'data science', 'graphics', 'statistics']","['c', 'javascript', 'c++', 'r-project', 'fortran']"
